Data;Ora_misura;T_accumolo;Bar_accumolo
30/08/2020;14:59;21.7;1.58
30/08/2020;15:03;20.2;1.55
30/08/2020;15:08;19.1;1.51
30/08/2020;15:12;18.2;1.49
30/08/2020;15:17;17.0;1.45
30/08/2020;15:22;15.7;1.43
30/08/2020;15:30;13.9;1.4
30/08/2020;15:37;12.7;1.38
30/08/2020;15:45;11.3;1.35
30/08/2020;15:52;9.7;1.32
30/08/2020;16:06;7.1;1.27
30/08/2020;16:19;5.2;1.24
30/08/2020;16:30;3.7;1.22
30/08/2020;16:37;2.8;1.21
30/08/2020;16:45;1.8;1.197
30/08/2020;16:53;0.9;1.18
30/08/2020;17:04;-0.5;1.17
30/08/2020;17:11;-1.3;1.15
30/08/2020;17:20;-2.4;1.13
30/08/2020;17:34;-4;1.12
30/08/2020;17:43;-4.8;1.11
30/08/2020;17:52;-5.7;1.105
30/08/2020;18:08;-7.1;1.08
31/08/2020;19:29;25;3
31/08/2020;19:30;0;0
